iter	Passed	Remaining
0	24	12018
1	39	9771
2	49	8165
3	84	10522
4	96	9592
5	126	10390
6	150	10634
7	186	11455
8	222	12161
9	257	12609
10	298	13278
11	355	14455
12	394	14788
13	446	15489
14	498	16102
15	533	16145
16	589	16742
17	603	16157
18	650	16466
19	705	16942
20	759	17330
21	817	17768
22	864	17938
23	948	18820
24	1060	20155
25	1279	23333
26	1337	23432
27	1394	23503
28	1466	23816
29	1539	24124
30	1608	24337
31	1651	24154
32	1692	23949
33	1750	23989
34	1788	23762
35	1829	23578
36	1876	23476
37	1936	23539
38	2042	24137
39	2108	24245
40	2238	25055
41	2356	25696
42	2441	25947
43	2541	26334
44	2605	26347
45	2706	26709
46	2822	27208
47	2931	27603
48	2992	27546
49	3054	27492
50	3106	27345
51	3184	27432
52	3269	27578
53	3337	27563
54	3425	27718
55	3498	27736
56	3550	27597
57	3600	27440
58	3659	27354
59	3697	27117
60	3756	27034
61	3827	27038
62	3931	27273
63	4041	27532
64	4137	27690
65	4230	27821
66	4331	27991
67	4487	28506
68	4572	28561
69	4737	29099
70	4867	29408
71	5043	29980
72	5134	30032
73	5182	29834
74	5234	29661
75	5287	29497
76	5453	29956
77	5603	30314
78	5641	30064
79	5684	29842
80	5734	29663
81	5790	29517
82	5899	29641
83	6043	29929
84	6185	30197
85	6210	29895
86	6263	29732
87	6304	29516
88	6353	29341
89	6419	29246
90	6481	29132
91	6544	29024
92	6618	28964
93	6667	28795
94	6768	28855
95	6922	29134
96	6995	29062
97	7047	28908
98	7105	28780
99	7162	28649
100	7227	28551
101	7302	28493
102	7362	28378
103	7413	28229
104	7475	28121
105	7532	27998
106	7574	27819
107	7625	27676
108	7661	27484
109	7711	27340
110	7780	27266
111	7858	27222
112	7988	27357
113	8040	27225
114	8130	27218
115	8205	27164
116	8253	27017
117	8310	26904
118	8360	26767
119	8407	26624
120	8458	26494
121	8528	26423
122	8644	26494
123	8724	26455
124	8859	26577
125	8926	26497
126	8973	26356
127	9035	26259
128	9119	26226
129	9192	26164
130	9251	26059
131	9308	25951
132	9375	25871
133	9463	25846
134	9574	25885
135	9667	25876
136	9710	25728
137	9761	25605
138	9826	25520
139	9903	25467
140	9989	25434
141	10185	25678
142	10313	25747
143	10381	25665
144	10451	25587
145	10516	25498
146	10575	25396
147	10637	25300
148	10697	25201
149	10757	25100
150	10819	25007
151	10887	24927
152	10957	24850
153	11021	24762
154	11078	24658
155	11134	24552
156	11200	24470
157	11255	24362
158	11312	24260
159	11370	24162
160	11424	24055
161	11480	23953
162	11549	23877
163	11632	23832
164	11699	23754
165	11760	23661
166	11812	23554
167	11865	23448
168	11920	23347
169	11983	23262
170	12033	23151
171	12098	23071
172	12161	22987
173	12222	22899
174	12265	22779
175	12328	22695
176	12385	22601
177	12445	22514
178	12502	22420
179	12532	22280
180	12565	22145
181	12626	22061
182	12671	21949
183	12726	21856
184	12789	21776
185	12839	21675
186	12898	21589
187	12959	21507
188	13007	21404
189	13068	21321
190	13140	21258
191	13190	21160
192	13260	21092
193	13349	21056
194	13445	21030
195	13496	20934
196	13585	20894
197	13666	20845
198	13807	20884
199	13888	20833
200	13957	20762
201	14111	20817
202	14190	20760
203	14296	20744
204	14382	20696
205	14436	20603
206	14505	20531
207	14563	20444
208	14632	20372
209	14722	20331
210	14864	20360
211	15029	20417
212	15204	20487
213	15296	20443
214	15372	20378
215	15460	20328
216	15534	20258
217	15600	20179
218	15672	20109
219	15740	20033
220	15794	19940
221	15867	19870
222	15916	19770
223	15964	19670
224	16025	19586
225	16088	19505
226	16283	19583
227	16419	19588
228	16491	19515
229	16566	19447
230	16630	19366
231	16718	19313
232	16946	19419
233	17034	19364
234	17100	19283
235	17156	19191
236	17218	19107
237	17288	19032
238	17436	19041
239	17536	18997
240	17608	18923
241	17687	18856
242	17756	18780
243	17805	18681
244	17857	18586
245	17935	18518
246	18028	18466
247	18112	18404
248	18201	18347
249	18300	18300
250	18382	18235
251	18460	18167
252	18539	18100
253	18613	18027
254	18710	17977
255	18766	17887
256	18839	17813
257	18907	17735
258	18998	17678
259	19108	17638
260	19156	17541
261	19218	17457
262	19282	17376
263	19353	17300
264	19422	17223
265	19493	17148
266	19593	17098
267	19695	17049
268	19779	16985
269	19880	16935
270	19991	16892
271	20049	16806
272	20101	16714
273	20148	16618
274	20215	16540
275	20268	16449
276	20341	16376
277	20408	16297
278	20478	16221
279	20529	16130
280	20662	16103
281	20732	16027
282	20801	15950
283	20861	15866
284	20959	15811
285	21652	16201
286	21836	16206
287	21958	16163
288	22064	16109
289	22143	16034
290	22219	15958
291	22284	15873
292	22473	15877
293	22596	15833
294	22674	15756
295	22743	15674
296	22804	15586
297	22926	15541
298	23087	15520
299	23285	15523
300	23438	15496
301	23586	15464
302	23748	15440
303	23847	15375
304	23908	15285
305	24047	15245
306	24409	15345
307	24685	15388
308	24873	15375
309	25119	15395
310	25254	15347
311	25337	15267
312	25403	15177
313	25516	15114
314	25695	15090
315	25856	15055
316	25942	14976
317	26033	14899
318	26137	14830
319	26235	14757
320	26348	14692
321	26434	14612
322	26541	14544
323	26669	14486
324	26774	14417
325	26856	14334
326	26919	14241
327	27160	14242
328	27592	14341
329	27802	14322
330	29378	15000
331	29704	15031
332	30020	15055
